bean_name;bean_details;attribute_name
RuntimeImpl;VmName;RuntimeImpl.VmName
RuntimeImpl;VmVendor;RuntimeImpl.VmVendor
RuntimeImpl;VmVersion;RuntimeImpl.VmVersion
RuntimeImpl;BootClassPathSupported;RuntimeImpl.BootClassPathSupported
RuntimeImpl;StartTime;RuntimeImpl.StartTime
RuntimeImpl;Name;RuntimeImpl.Name
RuntimeImpl;ObjectName.type;RuntimeImpl.ObjectName.type
ManagementFactoryHelper$1;MemoryUsed;ManagementFactoryHelper$1.MemoryUsed
ManagementFactoryHelper$1;TotalCapacity;ManagementFactoryHelper$1.TotalCapacity
ManagementFactoryHelper$1;Count;ManagementFactoryHelper$1.Count
ManagementFactoryHelper$1;Name;ManagementFactoryHelper$1.Name
ManagementFactoryHelper$1;ObjectName.name;ManagementFactoryHelper$1.ObjectName.name
ManagementFactoryHelper$1;ObjectName.type;ManagementFactoryHelper$1.ObjectName.type
GarbageCollectorImpl;CollectionCount;GarbageCollectorImpl.CollectionCount
GarbageCollectorImpl;CollectionTime;GarbageCollectorImpl.CollectionTime
GarbageCollectorImpl;MemoryPoolNames#0;GarbageCollectorImpl.MemoryPoolNames#0
GarbageCollectorImpl;MemoryPoolNames#1;GarbageCollectorImpl.MemoryPoolNames#1
GarbageCollectorImpl;MemoryPoolNames#2;GarbageCollectorImpl.MemoryPoolNames#2
GarbageCollectorImpl;MemoryPoolNames#3;GarbageCollectorImpl.MemoryPoolNames#3
GarbageCollectorImpl;Name;GarbageCollectorImpl.Name
GarbageCollectorImpl;Valid;GarbageCollectorImpl.Valid
GarbageCollectorImpl;ObjectName.name;GarbageCollectorImpl.ObjectName.name
GarbageCollectorImpl;ObjectName.type;GarbageCollectorImpl.ObjectName.type
ManagementFactoryHelper$1;MemoryUsed;ManagementFactoryHelper$1.MemoryUsed
ManagementFactoryHelper$1;TotalCapacity;ManagementFactoryHelper$1.TotalCapacity
ManagementFactoryHelper$1;Count;ManagementFactoryHelper$1.Count
ManagementFactoryHelper$1;Name;ManagementFactoryHelper$1.Name
ManagementFactoryHelper$1;ObjectName.name;ManagementFactoryHelper$1.ObjectName.name
ManagementFactoryHelper$1;ObjectName.type;ManagementFactoryHelper$1.ObjectName.type
ThreadImpl;ThreadAllocatedMemoryEnabled;ThreadImpl.ThreadAllocatedMemoryEnabled
ThreadImpl;ThreadAllocatedMemorySupported;ThreadImpl.ThreadAllocatedMemorySupported
ThreadImpl;ThreadContentionMonitoringEnabled;ThreadImpl.ThreadContentionMonitoringEnabled
ThreadImpl;AllThreadIds;ThreadImpl.AllThreadIds
ThreadImpl;CurrentThreadCpuTime;ThreadImpl.CurrentThreadCpuTime
ThreadImpl;CurrentThreadUserTime;ThreadImpl.CurrentThreadUserTime
ThreadImpl;ThreadCount;ThreadImpl.ThreadCount
ThreadImpl;TotalStartedThreadCount;ThreadImpl.TotalStartedThreadCount
ThreadImpl;ThreadCpuTimeSupported;ThreadImpl.ThreadCpuTimeSupported
ThreadImpl;ThreadCpuTimeEnabled;ThreadImpl.ThreadCpuTimeEnabled
ThreadImpl;DaemonThreadCount;ThreadImpl.DaemonThreadCount
ThreadImpl;PeakThreadCount;ThreadImpl.PeakThreadCount
ThreadImpl;CurrentThreadCpuTimeSupported;ThreadImpl.CurrentThreadCpuTimeSupported
ThreadImpl;ObjectMonitorUsageSupported;ThreadImpl.ObjectMonitorUsageSupported
ThreadImpl;SynchronizerUsageSupported;ThreadImpl.SynchronizerUsageSupported
ThreadImpl;ThreadContentionMonitoringSupported;ThreadImpl.ThreadContentionMonitoringSupported
ThreadImpl;ObjectName.type;ThreadImpl.ObjectName.type
GarbageCollectorImpl;CollectionCount;GarbageCollectorImpl.CollectionCount
GarbageCollectorImpl;CollectionTime;GarbageCollectorImpl.CollectionTime
GarbageCollectorImpl;MemoryPoolNames#0;GarbageCollectorImpl.MemoryPoolNames#0
GarbageCollectorImpl;MemoryPoolNames#1;GarbageCollectorImpl.MemoryPoolNames#1
GarbageCollectorImpl;Name;GarbageCollectorImpl.Name
GarbageCollectorImpl;Valid;GarbageCollectorImpl.Valid
GarbageCollectorImpl;ObjectName.name;GarbageCollectorImpl.ObjectName.name
GarbageCollectorImpl;ObjectName.type;GarbageCollectorImpl.ObjectName.type
HotSpotDiagnostic;DiagnosticOptions.name#0;HotSpotDiagnostic.DiagnosticOptions.name#0
HotSpotDiagnostic;DiagnosticOptions.origin#0;HotSpotDiagnostic.DiagnosticOptions.origin#0
HotSpotDiagnostic;DiagnosticOptions.value#0;HotSpotDiagnostic.DiagnosticOptions.value#0
HotSpotDiagnostic;DiagnosticOptions.writeable#0;HotSpotDiagnostic.DiagnosticOptions.writeable#0
HotSpotDiagnostic;DiagnosticOptions.name#1;HotSpotDiagnostic.DiagnosticOptions.name#1
HotSpotDiagnostic;DiagnosticOptions.origin#1;HotSpotDiagnostic.DiagnosticOptions.origin#1
HotSpotDiagnostic;DiagnosticOptions.value#1;HotSpotDiagnostic.DiagnosticOptions.value#1
HotSpotDiagnostic;DiagnosticOptions.writeable#1;HotSpotDiagnostic.DiagnosticOptions.writeable#1
HotSpotDiagnostic;DiagnosticOptions.name#2;HotSpotDiagnostic.DiagnosticOptions.name#2
HotSpotDiagnostic;DiagnosticOptions.origin#2;HotSpotDiagnostic.DiagnosticOptions.origin#2
HotSpotDiagnostic;DiagnosticOptions.value#2;HotSpotDiagnostic.DiagnosticOptions.value#2
HotSpotDiagnostic;DiagnosticOptions.writeable#2;HotSpotDiagnostic.DiagnosticOptions.writeable#2
HotSpotDiagnostic;DiagnosticOptions.name#3;HotSpotDiagnostic.DiagnosticOptions.name#3
HotSpotDiagnostic;DiagnosticOptions.origin#3;HotSpotDiagnostic.DiagnosticOptions.origin#3
HotSpotDiagnostic;DiagnosticOptions.value#3;HotSpotDiagnostic.DiagnosticOptions.value#3
HotSpotDiagnostic;DiagnosticOptions.writeable#3;HotSpotDiagnostic.DiagnosticOptions.writeable#3
HotSpotDiagnostic;DiagnosticOptions.name#4;HotSpotDiagnostic.DiagnosticOptions.name#4
HotSpotDiagnostic;DiagnosticOptions.origin#4;HotSpotDiagnostic.DiagnosticOptions.origin#4
